"play","step","Systems / 205","Neuroptics / 207","Circuits / 209","Runs / 228"
"94","21","3","6","715","21"
"95","0","0","0","0","0"
"95","1","0","1","33","1"
"95","2","0","2","77","2"
"95","3","1","2","113","3"
"95","4","1","2","159","4"
"95","5","1","3","206","5"
"95","6","1","3","230","6"
"95","7","1","4","270","7"
"95","8","2","4","310","8"
"95","9","3","4","345","9"
"95","10","3","5","395","10"
"95","11","3","5","433","11"
"95","12","3","5","462","12"
"95","13","3","5","510","13"
"95","14","3","5","560","14"
"95","15","3","6","599","15"
"95","16","4","6","628","16"
"95","17","4","6","671","17"
"95","18","5","6","713","18"
